id1,id2,time1,time2,corr
s7,s5,1,49,-0.8533562376055798
s6,s1,1885,1885,0.9721284288163692
s5,s3,1873,1873,-0.8732360941277705
s4,s8,1873,1873,0.9372370460085441
s4,s3,49,49,0.9402578085189698
s8,s2,49,85,0.8729209145531012
s1,s6,61,61,0.855166307244391
s7,s5,97,145,-0.973070869940899
s4,s1,145,157,0.866188689159291
s2,s6,181,157,-0.9698488719038518
s3,s8,145,145,-0.8292360811912052
s7,s4,193,241,0.9036486993057973
s6,s2,253,277,-0.8378423295546076
s8,s3,241,241,0.9840507603438767
s1,s5,253,241,0.9935011594707666
s7,s4,289,337,-0.9518948427109012
s6,s8,349,337,0.8389050136842897
s2,s3,373,337,-0.8358869738903901
s1,s5,349,337,0.9659340842556913
s7,s3,385,433,-0.9736343236404947
s4,s6,433,445,0.9943449782418549
s5,s1,433,445,0.9443887581287383
s2,s8,469,433,-0.8999428032649103
s7,s5,481,529,0.9255613310169414
s6,s4,541,529,-0.9826935029871112
s3,s8,529,529,0.8502824725933144
s1,s2,541,565,0.9234564022811893
s7,s8,577,625,-0.9472697965915112
s2,s1,661,637,-0.8654268149102815
s5,s3,625,625,0.916488102965563
s6,s4,637,625,-0.880698918485292
s7,s3,673,721,-0.8949852185612305
s2,s1,757,733,-0.9833282828790209
s4,s6,721,733,-0.952539212016155
s8,s5,721,721,-0.8981265920892864
s7,s3,769,817,0.8141184657160117
s6,s2,829,853,-0.8639821857234707
s5,s8,817,817,-0.8448166325084424
s1,s4,829,817,0.8360588681669201
s7,s5,865,913,0.8781962286524502
s6,s2,925,949,0.9656715286146075
s1,s3,925,913,-0.8760846988523053
s8,s4,913,913,-0.972163373637625
s7,s8,961,1009,0.9945346729841122
s2,s1,1045,1021,-0.913274241299028
s5,s4,1009,1009,0.8316056826287226
s3,s6,1009,1021,0.8704656029253506
s7,s8,1057,1105,-0.8222623687796465
s6,s5,1117,1105,-0.9817712710102587
s2,s1,1141,1117,-0.844457851062104
s3,s4,1105,1105,-0.9912758761502178
s7,s8,1153,1201,0.9564451051183466
s5,s1,1201,1213,-0.8949572824372607
s2,s4,1237,1201,0.8632922483350258
s3,s6,1201,1213,-0.9597194982709271
s7,s3,1249,1297,-0.903408279085044
s2,s5,1333,1297,0.9802295573724514
s1,s6,1309,1309,-0.8113600710264457
s8,s4,1297,1297,0.9812519533521984
s7,s3,1345,1393,0.9753957246579369
s2,s8,1429,1393,0.964201674930928
s6,s4,1405,1393,0.8716638642435962
s5,s1,1393,1405,-0.9838475485620947
s7,s4,1441,1489,0.8946506544395241
s2,s1,1525,1501,-0.873272240134172
s6,s5,1501,1489,0.9454312837237409
s3,s8,1489,1489,-0.8992637087109526
s7,s5,1537,1585,-0.921714608746496
s1,s8,1597,1585,-0.9809644380476611
s2,s3,1621,1585,-0.9454442512323148
s6,s4,1597,1585,-0.8632790124327622
s7,s8,1633,1681,-0.9698353515020192
s1,s3,1693,1681,0.8256970794652005
s4,s6,1681,1693,0.98142430002168
s2,s5,1717,1681,0.8454969426099125
s7,s8,1729,1777,-0.8827746764303767
s2,s4,1813,1777,-0.8868232800519272
s5,s6,1777,1789,-0.9592082989885035
s1,s3,1789,1777,-0.9568493247442955
s4,s8,1885,1885,0.9055181715844018
s1,s2,733,757,0.8905273797581655
s7,s2,1849,1885,0.8191033886021906
s7,s5,73,121,-0.9615241325784053
s1,s6,1897,1897,0.8830132572267
s1,s8,1573,1561,-0.8903067327428532
s1,s2,721,745,-0.9358301708041922
s7,s4,289,337,-0.964913351782568
s4,s1,817,829,0.890791012542006
s3,s4,1393,1393,-0.9708305509889793
s8,s7,241,193,-0.9533789323039067
s7,s6,961,925,-0.9400059094691905
s2,s3,373,337,0.9209822879473031
s3,s7,1297,1249,-0.924397595260147
s5,s3,337,337,-0.9330375671186285
s2,s8,1237,1201,-0.8168139077127534
s6,s5,1501,1489,-0.8904385583307557
s5,s7,1297,1345,0.8917481762477155
s5,s3,1009,1009,-0.9110832282783222
s1,s4,61,49,-0.9958967197230555
s2,s5,949,913,-0.9369718609211546
s6,s2,829,853,-0.8317110041807266
s7,s3,385,433,-0.98149875984753
s5,s8,1297,1297,-0.8529740870408767
s3,s7,1297,1249,0.8653486945244894
s6,s4,1609,1597,0.9993382646421836
s3,s7,1297,1249,0.9681854152918326
s2,s3,1621,1585,-0.9529548903379046
s6,s2,133,157,-0.9889585159386513
s3,s7,817,769,-0.950851994917856
s3,s6,1201,1213,0.823935826159827
s5,s4,433,433,-0.9308961253805651
s7,s8,1741,1789,0.9133022007152695
s2,s3,1717,1681,-0.8501004137172582
s8,s3,529,529,0.8480884630516521
s4,s7,1201,1153,-0.8852059403473589
s7,s8,193,241,-0.9091943595586799
s2,s8,1237,1201,0.950810730207889
s5,s1,1393,1405,-0.8072078125156801
s7,s4,1153,1201,0.9190646362714673
s1,s2,625,649,0.981169863443971
s1,s2,541,565,-0.8695917624775468
s8,s1,1585,1597,0.9466329974020227
s2,s1,721,697,0.9459521351844257
s3,s1,241,253,-0.9500192688038924
s7,s6,481,445,0.9625369854980169
s6,s8,1021,1009,-0.9236110046526252
s6,s2,1405,1429,-0.9936782647884509
