id1,id2,time1,time2,corr
s13,s12,7897,7897,-0.9259839631726619
s16,s14,7897,7897,0.8996709978063994
s6,s8,7885,7885,0.8911081994948111
s10,s4,7861,7861,-0.8529884207603958
s8,s6,13,13,-0.8088343597419474
s9,s15,7849,7849,-0.8647783182965213
s3,s1,7849,7825,0.8332219761672698
s11,s2,7825,7837,-0.8088647889186714
s5,s7,7825,7813,0.9421793264613049
s12,s14,7801,7801,0.82961083237063
s13,s16,7801,7801,0.9445676714411735
s8,s6,7789,7789,-0.9419577072789284
s10,s4,7765,7765,-0.8746360886894557
s3,s15,7753,7753,-0.8851416725962106
s9,s1,7753,7729,0.9588639207506855
s2,s5,7741,7729,0.9778924834154281
s11,s7,7729,7717,0.827404803250001
s13,s12,7705,7705,0.8827392469296961
s16,s14,7705,7705,0.93060567394829
s8,s6,7693,7693,0.9798939996885776
s10,s4,7669,7669,0.958456617987156
s12,s14,25,25,0.9600827088514997
s16,s13,25,25,0.8602167321184108
s5,s7,49,37,0.8134253107326158
s11,s1,49,49,0.8103813977814982
s2,s15,61,73,-0.86583477238011
s3,s9,73,73,0.9335086762603323
s4,s10,85,85,0.9447163672391431
s6,s8,109,109,0.8728574680976121
s16,s12,121,121,-0.8709055530556886
s14,s13,121,121,0.8257131288394871
s11,s1,145,145,0.8624116991966623
s5,s7,145,133,-0.8551619217898135
s2,s3,157,169,-0.9684652623539275
s9,s15,169,169,0.8945436220102702
s4,s10,181,181,0.8315693210875224
s8,s6,205,205,-0.9299097791128736
s14,s16,217,217,0.9489921278459715
s12,s13,217,217,-0.9494902474620124
s11,s1,241,241,-0.8859975990382978
s5,s7,241,229,0.9017246738732777
s2,s15,253,265,-0.92237792570901
s3,s9,265,265,0.9869827418948315
s4,s10,277,277,0.9151450497269463
s6,s8,301,301,0.8465300114844004
s12,s14,313,313,-0.9996153766362117
s16,s13,313,313,0.8934611418618914
s1,s5,337,337,-0.9668012027947818
s11,s7,337,325,0.8384335227126165
s2,s15,349,361,0.9741754241354734
s9,s3,361,361,0.8380512754544952
s4,s10,373,373,-0.9466245225693063
s8,s6,397,397,-0.8745756143910985
s13,s16,409,409,0.9645713936076754
s14,s12,409,409,-0.8573461665568068
s5,s11,433,433,0.8931914444828973
s1,s7,433,421,-0.8253613575373016
s2,s9,445,457,-0.8242002810951556
s15,s3,457,457,0.8808125251037132
s10,s4,469,469,-0.8097925537730594
s6,s8,493,493,-0.8778773394360126
s14,s13,505,505,0.9792315082226447
s12,s16,505,505,-0.8934666335565762
s11,s7,529,517,0.8913154667069502
s5,s1,529,529,-0.882907489131494
s2,s9,541,553,-0.884180103133545
s3,s15,553,553,0.9958171567577399
s10,s4,565,565,-0.8610422518153394
s8,s6,589,589,0.9606600842101497
s3,s15,7657,7657,-0.8836192935228948
s9,s5,7657,7633,-0.9829313406421922
s11,s2,7633,7645,-0.9118197377527529
s1,s7,7633,7621,-0.8328123254135463
s16,s14,7609,7609,0.8452355812718887
s12,s13,7609,7609,0.8869931788212877
s6,s8,7597,7597,-0.8463202193607098
s10,s4,7573,7573,-0.9172365718797743
s15,s3,7561,7561,-0.9738680672233413
s9,s1,7561,7537,0.8256390982980211
s5,s2,7537,7549,-0.9822206321938555
s11,s7,7537,7525,0.8913537678963125
s13,s12,7513,7513,0.998781196044262
s14,s16,7513,7513,-0.9776220582600599
s8,s6,7501,7501,-0.8575589319369112
s10,s4,7477,7477,0.8177768605545074
s3,s15,7465,7465,-0.8687068874785334
s9,s5,7465,7441,-0.9343148485858894
s1,s11,7441,7441,-0.8833607307547449
s2,s7,7453,7429,-0.8843738146590013
s13,s16,7417,7417,-0.9600366598453918
s12,s14,7417,7417,-0.9372447917377965
s6,s8,7405,7405,0.9759795738385898
s4,s10,7381,7381,-0.8999888560059253
s3,s9,7369,7369,0.8472692838953437
s15,s11,7369,7345,-0.8618444778287777
s2,s1,7357,7345,-0.8971362815134982
s5,s7,7345,7333,-0.8093311219459802
s14,s16,7321,7321,0.9011602421788064
s13,s12,7321,7321,-0.9759074671279678
s8,s6,7309,7309,-0.9084169118756023
s10,s4,7285,7285,-0.9189724573742293
s3,s15,7273,7273,-0.8444881565217804
s9,s1,7273,7249,0.8924712636630552
s5,s11,7249,7249,-0.8909326998823055
s2,s7,7261,7237,0.9130496253961238
s14,s16,7225,7225,0.9743434832138596
s13,s12,7225,7225,0.8358890857920743
s8,s6,7213,7213,0.9851929521194196
s10,s4,7189,7189,0.8843137448769033
s3,s15,7177,7177,-0.804944216029597
s9,s11,7177,7153,-0.9832318645090332
s5,s2,7153,7165,0.8892664802173856
s1,s7,7153,7141,0.904417623059948
s14,s13,7129,7129,-0.8756571467121189
s12,s16,7129,7129,0.9064248541697083
s8,s6,7117,7117,-0.9747199860010431
s4,s10,7093,7093,-0.8174071847192981
s15,s3,7081,7081,0.9491185908107629
s9,s2,7081,7069,-0.9276444588050331
s5,s11,7057,7057,-0.9944673840564073
s1,s7,7057,7045,0.9404089629375958
s12,s16,7033,7033,0.844996552842938
s14,s13,7033,7033,-0.8620277515139537
s8,s6,7021,7021,0.8893037312155504
s10,s4,6997,6997,-0.8354903653428265
s3,s9,6985,6985,-0.9743983083609504
s15,s11,6985,6961,-0.9196905398995162
s1,s5,6961,6961,0.9100800786529165
s2,s7,6973,6949,0.899839475079839
s14,s13,6937,6937,0.9233346825630642
s12,s16,6937,6937,0.9066494225040012
s8,s6,6925,6925,-0.828062696016083
s4,s10,6901,6901,-0.856667840091843
s9,s15,6889,6889,-0.9109733915200321
s3,s2,6889,6877,-0.9962453368416727
s5,s11,6865,6865,-0.923672177184053
s1,s7,6865,6853,-0.8937601108590709
s14,s16,6841,6841,-0.9169173554629289
s12,s13,6841,6841,0.9500067863660017
s6,s8,6829,6829,0.9317015406466792
s4,s10,6805,6805,-0.8574608172670042
s15,s3,6793,6793,-0.8774103059141989
s9,s2,6793,6781,0.9748482480852375
s11,s1,6769,6769,0.9860263336725198
s5,s7,6769,6757,0.9625389629201053
s14,s13,6745,6745,0.9542358194338788
s16,s12,6745,6745,0.9177847558339837
s8,s6,6733,6733,0.9691696099894219
s10,s4,6709,6709,0.8527681609203613
s3,s15,6697,6697,-0.9935497294614339
s9,s5,6697,6673,0.8734427155734537
s2,s1,6685,6673,-0.8008657756798108
s11,s7,6673,6661,-0.8792296923004234
s12,s13,6649,6649,0.9585955673705521
s14,s16,6649,6649,0.8922589275962988
s6,s8,6637,6637,0.9272799357756145
s4,s10,6613,6613,0.8675466775310531
s3,s15,6601,6601,0.8558543169223635
s9,s5,6601,6577,-0.9948206501453335
s2,s1,6589,6577,-0.9535753724214029
s11,s7,6577,6565,0.8570016768045284
s13,s16,6553,6553,-0.9801397354591775
s14,s12,6553,6553,0.8828512035978231
s6,s8,6541,6541,0.8719720821970146
