id1,id2,time1,time2,corr
s4,s2,673,661,0.8513236962523305
s7,s8,1201,1177,-0.8056763472808884
s3,s1,1297,1249,-0.7624496935628137
s2,s2,1897,1861,0.91914775731274
s4,s4,133,145,0.7580687057360108
s6,s4,1753,1789,-0.9390760897488822
s4,s3,1177,1201,-0.9114665143155346
s7,s8,1141,1093,-0.8956054687779412
s2,s4,493,517,-0.9237766363625989
s2,s8,721,745,0.9552967646706805
s3,s3,1309,1273,0.9121295024711236
s2,s2,1513,1525,-0.9568453588208977
s1,s1,709,685,0.9237893671400672
s1,s2,469,445,0.9624532341628945
s3,s6,1873,1873,0.7630006245211705
s1,s7,1837,1801,-0.7700861136665778
s2,s2,1645,1657,0.9337612780138098
s3,s8,1117,1081,-0.8794824681597397
s4,s4,1561,1609,0.8750822290256923
s2,s3,901,949,0.8493081456019892
s3,s8,1753,1705,-0.8472856542192652
s6,s5,1765,1789,-0.7666895353952717
s5,s6,1393,1381,0.7500294399279054
s2,s4,1645,1669,0.7587866231560542
s8,s2,841,829,0.9137282266811934
s8,s3,1297,1333,-0.8705289989990417
s7,s2,625,673,-0.8927557124670793
s4,s5,541,505,-0.9900543633518107
s1,s4,157,181,-0.8160810849661149
s3,s2,1129,1105,0.7657503566438804
s7,s2,457,481,0.9324709903252327
s8,s4,289,277,-0.9442727279234024
s4,s5,541,589,0.9707697588753245
s2,s1,733,757,-0.9508064862913019
s8,s7,229,265,0.8938199075429175
s5,s8,1621,1621,0.9560562101880257
s8,s6,1465,1417,0.9275795791869166
s4,s8,625,649,0.9570280740160951
s6,s4,229,265,0.8382587722418905
s1,s8,349,313,-0.8682193722674754
s7,s8,325,325,-0.8296709832524898
s7,s4,457,493,-0.8022099862564579
s6,s7,613,577,0.9841351469984396
s4,s1,349,301,0.769106767770404
s2,s3,553,505,-0.8246931289980204
s1,s5,1393,1441,0.8473525105264288
s3,s5,1429,1453,0.9263866395010572
s2,s2,1417,1417,-0.9322302699703235
s4,s3,901,901,0.8941514326621312
s3,s4,805,805,0.942047036417826
s7,s6,793,841,0.8780513688881985
s5,s1,1345,1333,-0.884365459848503
s1,s2,325,349,0.7740201626332514
s6,s1,985,997,-0.8271153620495003
s4,s5,1741,1693,0.8571296808408372
s1,s3,253,289,-0.9130380834898716
s6,s1,397,409,0.9887013491311928
s6,s6,1345,1333,0.8578594567801265
s4,s2,1561,1585,0.8278486976741886
s8,s1,1201,1165,-0.7651147784861821
s7,s5,829,853,0.9960628327124993
s5,s6,241,217,-0.9034519665953024
s1,s6,289,325,0.9738047726303848
s5,s2,565,529,0.9750766518584093
